s,cname,name,c_id
http://example.com/heritage/id/66089098w,Japan,Ogasawara Islands marine area (1),http://example.com/country/id/17
http://example.com/heritage/id/66089147w,Japan,Ogasawara Islands marine area (2),http://example.com/country/id/17
http://example.com/heritage/id/66089879w,Japan,former house of the Togawa Family,http://example.com/country/id/17
http://example.com/heritage/id/66089882w,Japan,house of the Osano Family,http://example.com/country/id/17
http://example.com/heritage/id/66089896w,Japan,Deguchi-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089898w,Japan,Okama-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089900w,Japan,Sokonashi-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089902w,Japan,Chōshi-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089904w,Japan,Waku-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089906w,Japan,Nigori-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089908w,Japan,Kagami-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089910w,Japan,Shōbu-ike Pond,http://example.com/country/id/17
http://example.com/heritage/id/66089912w,Japan,Funatsu Lava Tree Molds,http://example.com/country/id/17
http://example.com/heritage/id/66089914w,Japan,Yoshida Lava Tree Molds,http://example.com/country/id/17
http://example.com/heritage/id/66092099w,Japan,Arafune Cold Storage,http://example.com/country/id/17
http://example.com/heritage/id/66092176w,Japan,Mitsubishi No.3 Dry Dock,http://example.com/country/id/17
http://example.com/heritage/id/66092177w,Japan,Mitsubishi Senshokaku Guest House,http://example.com/country/id/17
http://example.com/heritage/id/66092178w,Japan,Mitsubishi Giant Cantilever Crane,http://example.com/country/id/17
http://example.com/heritage/id/66092179w,Japan,Miike Coal Mine and Miike Port,http://example.com/country/id/17
http://example.com/heritage/id/66108561w,Japan,Kasuga Village and Sacred Places in Hirado (Kasuga Village and Mt. Yasumandake),http://example.com/country/id/17
http://example.com/heritage/id/66111203w,Japan,Koyajima,http://example.com/country/id/17
http://example.com/heritage/id/66111205w,Japan,Mikadobashira,http://example.com/country/id/17
http://example.com/heritage/id/66111209w,Japan,Tenguiwa,http://example.com/country/id/17
http://example.com/heritage/id/66111211w,Japan,Okitsu-gū,http://example.com/country/id/17
http://example.com/heritage/id/66111213w,Japan,Nakatsu-gū,http://example.com/country/id/17
http://example.com/heritage/id/66111215w,Japan,Hetsu-gū,http://example.com/country/id/17
http://example.com/heritage/id/66124353w,Japan,Gen'emon'yama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124356w,Japan,Tatsusayama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124358w,Japan,Komoyamazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124362w,Japan,Hatazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124363w,Japan,Zenizuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124365w,Japan,Terayama-minamiyama Kofun,http://example.com/country/id/17
