s,country_id,name
4479814h,http://example.com/country/id/30,West Baden Springs Hotel
45316350h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Edinburgh City Centre
4596016h,http://example.com/country/id/145,1 Snow Hill Plaza
47004857h,http://example.com/country/id/30,Brandt Hotel
47166648h,http://example.com/country/id/29,Palau Benet-Desvilar
4725573h,http://example.com/country/id/30,Aliante Casino and Hotel
47401774h,http://example.com/country/id/142,Conrad Bora Bora Nui
47518776h,http://example.com/country/id/869,Millennium Hilton Bangkok
47902573h,http://example.com/country/id/183,Schloss Kölzow
4791273h,http://example.com/country/id/30,Arizona Charlie's Boulder
4792351h,http://example.com/country/id/30,Arlington Hotel
4793581h,http://example.com/country/id/30,Arminius Hotel
4806513h,http://example.com/country/id/43,Hilton Istanbul Bosphorus
4822225h,http://example.com/country/id/43,Hilton Izmir
4841991h,http://example.com/country/id/145,Baglioni Hotel
4842213h,http://example.com/country/id/778,Baha Mar
48843972h,http://example.com/country/id/30,Booth Hotel
49393251h,http://example.com/country/id/833,DoubleTree by Hilton Hotel Kuala Lumpur
4949600h,http://example.com/country/id/30,Boulder Station
49573628h,http://example.com/country/id/1011,Hilton Cabo Verde Sal Resort
49593283h,http://example.com/country/id/183,Breite Straße 19
49593839h,http://example.com/country/id/183,Friedrichplatz 8
49594143h,http://example.com/country/id/183,Kurstraße 6
49595033h,http://example.com/country/id/183,Schloßstraße 5
4979998h,http://example.com/country/id/30,Bryan Building
49807274h,http://example.com/country/id/145,Hilton London Bankside
4985118h,http://example.com/country/id/30,Texas Station
4993716h,http://example.com/country/id/45,Castle of Alvito
4999251h,http://example.com/country/id/30,Burlington Hotel
50308536h,http://example.com/country/id/878,DoubleTree by Hilton Hotel Dubai - Jumeirah Beach
50353048h,http://example.com/country/id/43,Hilton Istanbul Bomonti Hotel & Conference Center
50356312h,http://example.com/country/id/29,Hotel Palace of Valencia
5049621h,http://example.com/country/id/30,Castaways Hotel and Casino
5049734h,http://example.com/country/id/45,Castle of Alcácer do Sal
5049843h,http://example.com/country/id/45,Castle of Vila Nova de Cerveira
50611971h,http://example.com/country/id/145,Hampton by Hilton London Gatwick Airport
5061223h,http://example.com/country/id/30,Central House Hotel
5065298h,http://example.com/country/id/17,Cerulean Tower
50809149h,http://example.com/country/id/232,Hilton Astana
50841764h,http://example.com/country/id/145,Hilton York
510121h,http://example.com/country/id/183,Schlosshotel Kronberg
51025456h,http://example.com/country/id/38,Hilton Garden Inn Florence Novoli
5120095h,http://example.com/country/id/30,Cimarron Hotel
51222702h,http://example.com/country/id/183,H10 Berlin Ku'damm
5179785h,http://example.com/country/id/145,Coworth House
51824364h,http://example.com/country/id/145,Hilton London Kensington
5189543h,http://example.com/country/id/30,Crowne Plaza Times Square
51918515h,http://example.com/country/id/408,Hilton Cairns
51956193h,http://example.com/country/id/30,Fort Piqua Plaza
5230243h,http://example.com/country/id/30,Davenport Hotel
52886668h,http://example.com/country/id/38,"Rome Cavalieri, A Waldorf Astoria Hotel"
5302326h,http://example.com/country/id/30,Dousman Hotel
5330926h,http://example.com/country/id/30,Eastside Cannery
5351073h,http://example.com/country/id/30,El Cortez
53632218h,http://example.com/country/id/145,DoubleTree by Hilton Hotel London ExCel
53806946h,http://example.com/country/id/45,Convento do Salvador
53881282h,http://example.com/country/id/45,Palacete do Chafariz d'El-Rei
53999203h,http://example.com/country/id/17,Hilton Niseko Village
5430586h,http://example.com/country/id/79,Hilton Cairo Heliopolis
54427554h,http://example.com/country/id/224,Dalmatia Tower
54474974h,http://example.com/country/id/45,Companhia de Moagens Harmonia
54475112h,http://example.com/country/id/45,Quinta da Pacheca
54475217h,http://example.com/country/id/45,NH Collection Porto Batalha
54475224h,http://example.com/country/id/45,Moov Hotel Porto Centro
