country_name,name,c_id,s
Argentina,Carl Sagan Museum Astronomy Association of Entre Ríos,http://example.com/country/id/414,84522467m
Argentina,Carlos A. Anadon City Museum,http://example.com/country/id/414,84507183m
Argentina,Carlos Ameghino Provincial Museum,http://example.com/country/id/414,6033689m
Argentina,Carlos Gardel,http://example.com/country/id/414,http://example.com/building/id/3296188b
Argentina,Carlos Pellegrini,http://example.com/country/id/414,http://example.com/building/id/3294899b
Argentina,Carlos Pellegrini Communal Historical Museum,http://example.com/country/id/414,84526824m
Argentina,Carmen de Patagones Museum of the Argentine Naval Prefecture,http://example.com/country/id/414,84506745m
Argentina,Carnacini House Museum,http://example.com/country/id/414,6033199m
Argentina,Cartref Taid Museum (Grandpa's Home),http://example.com/country/id/414,84511184m
Argentina,Casa Histórica de Tucumán,http://example.com/country/id/414,5364487m
Argentina,Casa Molina Municipal Museum,http://example.com/country/id/414,84514541m
Argentina,Casa Molinas - museum of historical and archaeological site,http://example.com/country/id/414,112039056m
Argentina,Casa Rosada Presidential Museum,http://example.com/country/id/414,6033679m
Argentina,Castagnino+macro museum,http://example.com/country/id/414,5403932m
Argentina,Castro Barros,http://example.com/country/id/414,http://example.com/building/id/3352006b
Argentina,Castro Barros Historical Museum,http://example.com/country/id/414,84526773m
Argentina,Cathedral Museum,http://example.com/country/id/414,84524995m
Argentina,Cathedral of Our Lady of Nahuel Huapi,http://example.com/country/id/414,http://example.com/building/id/2942784b
Argentina,Cecilio Bustamante Museum,http://example.com/country/id/414,84525416m
Argentina,Centennial Municipal Museum,http://example.com/country/id/414,84530847m
Argentina,Centennial Museum and Archive,http://example.com/country/id/414,84530992m
Argentina,Ceres Regional Museum,http://example.com/country/id/414,84531281m
Argentina,Chalet Huergo Museum,http://example.com/country/id/414,84509271m
Argentina,Chañar Ladeado Community Museum,http://example.com/country/id/414,84530764m
Argentina,"Chilecito Museum, San Francisco Mill",http://example.com/country/id/414,84514031m
Argentina,City Historical Museum,http://example.com/country/id/414,84531886m
Argentina,Code Astronomical Observatory - Santa Fe Space Observations Center,http://example.com/country/id/414,84529395m
Argentina,Colonel Leopoldo Ornstein Military History Museum,http://example.com/country/id/414,65553299m
Argentina,Colonia Baron Museum,http://example.com/country/id/414,84526694m
Argentina,Colonia Humboldt Historical Museum,http://example.com/country/id/414,84531644m
Argentina,Colonization Museum,http://example.com/country/id/414,84531616m
Argentina,Commission of History and Museum of Dentistry of the Argentine Dental Association,http://example.com/country/id/414,63442309m
Argentina,Community Museum July 30,http://example.com/country/id/414,84530341m
Argentina,Comprehensive Sample Of The Historical Past Of San Rafael,http://example.com/country/id/414,84514912m
Argentina,Congreso,http://example.com/country/id/414,http://example.com/building/id/3352074b
Argentina,Contemporary Art Museum,http://example.com/country/id/414,84529932m
Argentina,Corner Guard Community Museum,http://example.com/country/id/414,84530727m
Argentina,Corvette Museum Ship A.R.A. Uruguay,http://example.com/country/id/414,84513277m
Argentina,Cripta Jesuítica Córdoba,http://example.com/country/id/414,5790994m
Argentina,Cueva de las Manos,http://example.com/country/id/414,223385w
Argentina,Cultural Historical Museum,http://example.com/country/id/414,84526894m
Argentina,Cura Brochero Birthplace Museum,http://example.com/country/id/414,84507633m
Argentina,Curutchet House,http://example.com/country/id/414,2982737w
Argentina,"Córdoba Cathedral, Argentina",http://example.com/country/id/414,http://example.com/building/id/2942294b
Argentina,Desiderio Torres Regional Museum,http://example.com/country/id/414,6034603m
Argentina,Di Lullo Historical Museum,http://example.com/country/id/414,18704330m
Argentina,Don José Cholino Geo-Mining Museum,http://example.com/country/id/414,84526676m
Argentina,Dorilla Historical Museum,http://example.com/country/id/414,84525658m
Argentina,Dr. Ernesto Padilla Archaeological Museum,http://example.com/country/id/414,84534724m
Argentina,Dr. Genaro Giacobini Museum,http://example.com/country/id/414,98081041m
Argentina,Dr. Justiniano Torres Aparicio Archaeological Museum,http://example.com/country/id/414,84525021m
Argentina,Dr. Reynaldo Laboureau Museum,http://example.com/country/id/414,84530401m
Argentina,Dr. Ángel Gallardo Provincial Natural Sciences Museum,http://example.com/country/id/414,6033687m
Argentina,Eduardo Sívori Museum,http://example.com/country/id/414,5340780m
Argentina,El Chocón Dam,http://example.com/country/id/414,http://example.com/building/id/1287364b
Argentina,El Hoyo Regional Historical Museum,http://example.com/country/id/414,84509729m
Argentina,El Rincón Light,http://example.com/country/id/414,http://example.com/building/id/3378128b
Argentina,Elmira Paz Gallo Museum-Archive,http://example.com/country/id/414,84533788m
Argentina,Emilio Azzarini Museum of Musical Instruments,http://example.com/country/id/414,6034170m
Argentina,Emma Nozzi Regional Historical Museum,http://example.com/country/id/414,84506775m
Argentina,Enrico Orsetti Municipal Historical Museum,http://example.com/country/id/414,84530916m
Argentina,Entomological Collection Chair of Agricultural Zoology - Uncuyo,http://example.com/country/id/414,84514060m
Argentina,Entre Ríos/Rodolfo Walsh,http://example.com/country/id/414,http://example.com/building/id/3296635b
Argentina,"Ernesto ""Che"" Guevara museum",http://example.com/country/id/414,6033314m
Argentina,Ernesto Bachmann Paleontological Museum,http://example.com/country/id/414,61793648m
Argentina,Ernesto de la Cárcova Museum of Reproductions and Comparative Sculpture,http://example.com/country/id/414,5394286m
Argentina,Esquel Historical Museum,http://example.com/country/id/414,84509756m
Argentina,Esquiu Museum,http://example.com/country/id/414,84508445m
Argentina,Estación Cultural Lucinda Larrosa Museum,http://example.com/country/id/414,59659418m
Argentina,Estadio Mario Alberto Kempes,http://example.com/country/id/414,http://example.com/building/id/1062157b
Argentina,Estadio Monumental (Buenos Aires),http://example.com/country/id/414,http://example.com/building/id/276354b
Argentina,Ethnographic Museum of the Pontifical Mission Societies,http://example.com/country/id/414,65391589m
Argentina,Evita Museum - Eva Perón National Institute of Historical Research,http://example.com/country/id/414,64764217m
Argentina,Evocative Historical Museum of the Superior College of Uruguay Justo José De Urquiza,http://example.com/country/id/414,84522690m
Argentina,Exhibition Of The History Of Korean Immigrant Farmers In Argentina,http://example.com/country/id/414,84521127m
Argentina,Experimental Science Museum,http://example.com/country/id/414,84528105m
Argentina,Facultad de Medicina,http://example.com/country/id/414,http://example.com/building/id/3296545b
Argentina,Falkland Islands Museum and National Trust,http://example.com/country/id/414,5431956m
Argentina,Famatina Municipal Museum,http://example.com/country/id/414,84513621m
Argentina,Farm Museum La Loma,http://example.com/country/id/414,84525758m
Argentina,Firma y Odilo Estévez Municipal Decorative Art Museum,http://example.com/country/id/414,5452116m
Argentina,Firmat Municipal Museum,http://example.com/country/id/414,84530620m
Argentina,First Argentine Museum of Old Motorcycles Luis Paludetti,http://example.com/country/id/414,84514504m
Argentina,First Ernesto Che Guevara Historical Museum,http://example.com/country/id/414,84514874m
Argentina,First House Museum,http://example.com/country/id/414,84509852m
Argentina,First School Museum,http://example.com/country/id/414,111904058m
