cname,s,country_id,name
Argentina,276354b,http://example.com/country/id/414,Estadio Monumental (Buenos Aires)
Argentina,2835568m,http://example.com/country/id/414,Buenos Aires Museo
Argentina,2839438b,http://example.com/country/id/414,Medalla Milagrosa
Argentina,2839843m,http://example.com/country/id/414,National Rice Museum
Argentina,28768394m,http://example.com/country/id/414,Museo de la Basura
Argentina,2884122b,http://example.com/country/id/414,Los Molinos Dam
Argentina,2886318m,http://example.com/country/id/414,Mario Brozoski Municipal Museum
Argentina,2888121m,http://example.com/country/id/414,Provincial Museum Complex «Enrique Udaondo»
Argentina,2942294b,http://example.com/country/id/414,"Córdoba Cathedral, Argentina"
Argentina,2942784b,http://example.com/country/id/414,Cathedral of Our Lady of Nahuel Huapi
Argentina,2942789b,http://example.com/country/id/414,"Our Lady of the Incarnation Cathedral, San Miguel de Tucumán"
Argentina,30084628m,http://example.com/country/id/414,Museo Beatle
Argentina,30591511m,http://example.com/country/id/414,Museo de la Fundación Romulo Raggio
Argentina,30902113m,http://example.com/country/id/414,Women's Museum of Argentina
Argentina,3174567b,http://example.com/country/id/414,Plaza Miserere
Argentina,3294899b,http://example.com/country/id/414,Carlos Pellegrini
Argentina,3295272b,http://example.com/country/id/414,Florida
Argentina,3295552b,http://example.com/country/id/414,Pasteur - Amia
Argentina,3295996b,http://example.com/country/id/414,Ángel Gallardo
Argentina,3296188b,http://example.com/country/id/414,Carlos Gardel
Argentina,3296545b,http://example.com/country/id/414,Facultad de Medicina
Argentina,3296554b,http://example.com/country/id/414,Juramento
Argentina,3296607b,http://example.com/country/id/414,Agüero
Argentina,3296614b,http://example.com/country/id/414,Bulnes
Argentina,3296635b,http://example.com/country/id/414,Entre Ríos/Rodolfo Walsh
Argentina,3296708b,http://example.com/country/id/414,José Hernández
Argentina,3296722b,http://example.com/country/id/414,Boedo
Argentina,3296869b,http://example.com/country/id/414,Varela
Argentina,3297032b,http://example.com/country/id/414,Plaza de los Virreyes
Argentina,3351989b,http://example.com/country/id/414,Acoyte
Argentina,3352006b,http://example.com/country/id/414,Castro Barros
Argentina,3352074b,http://example.com/country/id/414,Congreso
Argentina,3352291b,http://example.com/country/id/414,Alberti
Argentina,3352487b,http://example.com/country/id/414,Río de Janeiro
Argentina,3352542b,http://example.com/country/id/414,Piedras
Argentina,3378128b,http://example.com/country/id/414,El Rincón Light
Argentina,3396551b,http://example.com/country/id/414,General Belgrano Bridge
Argentina,375910b,http://example.com/country/id/414,Kavanagh building
Argentina,385090b,http://example.com/country/id/414,Torre Espacial
Argentina,40486686m,http://example.com/country/id/414,Museum of Natural Sciences Vicente Di Martino
Argentina,4068764b,http://example.com/country/id/414,Santa Fe Suspension Bridge
Argentina,42374620m,http://example.com/country/id/414,Provincial Museum of Contemporary Art
Argentina,46943b,http://example.com/country/id/414,1978 FIFA World Cup
Argentina,48795653m,http://example.com/country/id/414,Immigration Museum
Argentina,50351158m,http://example.com/country/id/414,Instituto Nacional de Estudios de Teatro
Argentina,50351269m,http://example.com/country/id/414,Museo Nacional del Hombre
Argentina,5037618m,http://example.com/country/id/414,Provincial Museum of Fine Arts Emilio A. Caraffa
Argentina,52151288m,http://example.com/country/id/414,Archaeological Museum Adam Quiroga
Argentina,5244836b,http://example.com/country/id/414,Tronador/Villa Ortúzar
Argentina,5244845b,http://example.com/country/id/414,Lavalle
Argentina,52575624m,http://example.com/country/id/414,"Museo de Farmacobotánica ""Juan A. Domínguez"""
Argentina,5340780m,http://example.com/country/id/414,Eduardo Sívori Museum
Argentina,5364487m,http://example.com/country/id/414,Casa Histórica de Tucumán
Argentina,53845031m,http://example.com/country/id/414,Roca Museum - Historical Research Institute
Argentina,5390854m,http://example.com/country/id/414,Pueblo de Luis Regional Museum
Argentina,5394286m,http://example.com/country/id/414,Ernesto de la Cárcova Museum of Reproductions and Comparative Sculpture
Argentina,5403932m,http://example.com/country/id/414,Castagnino+macro museum
Argentina,5431956m,http://example.com/country/id/414,Falkland Islands Museum and National Trust
Argentina,5452116m,http://example.com/country/id/414,Firma y Odilo Estévez Municipal Decorative Art Museum
Argentina,5483730m,http://example.com/country/id/414,Francisco P. Moreno Museum of Patagonia
Argentina,54862792m,http://example.com/country/id/414,International Museum for Democracy
Argentina,5566113m,http://example.com/country/id/414,Glaciarium
Argentina,56243611m,http://example.com/country/id/414,The vaults
Argentina,571763b,http://example.com/country/id/414,Palacio Barolo
Argentina,5779864m,http://example.com/country/id/414,Planetarium of Rosario
Argentina,5790994m,http://example.com/country/id/414,Cripta Jesuítica Córdoba
Argentina,5856278m,http://example.com/country/id/414,Punta Mogotes Lighthouses
Argentina,586432b,http://example.com/country/id/414,Bolívar
Argentina,58941062m,http://example.com/country/id/414,Parque Criollo y Museo Gauchesco Ricardo Gu͏̈iraldes
Argentina,59659418m,http://example.com/country/id/414,Estación Cultural Lucinda Larrosa Museum
Argentina,6033095m,http://example.com/country/id/414,Acatushun museum
Argentina,6033119m,http://example.com/country/id/414,Historical Archive Museum Hugo H. Diez
Argentina,6033199m,http://example.com/country/id/414,Carnacini House Museum
Argentina,6033246m,http://example.com/country/id/414,Argentine Film Museum
Argentina,6033314m,http://example.com/country/id/414,"Ernesto ""Che"" Guevara museum"
Argentina,6033358m,http://example.com/country/id/414,Teodoro Nürnberg Railway Port Museum
Argentina,6033370m,http://example.com/country/id/414,Simik Photographic Museum
Argentina,6033382m,http://example.com/country/id/414,Genaro Perez Museum
Argentina,6033387m,http://example.com/country/id/414,William Henry Hudson Museum
Argentina,6033415m,http://example.com/country/id/414,"""Dr. Julio Marc"" Provincial Historical Museum"
Argentina,6033432m,http://example.com/country/id/414,History Museum of the North
