s,hotel_name,country_name
38251391h,3 V Tourist Court,United States of America
38251968h,Bonneville Hotel,United States of America
40037779h,Dämman,Sweden
4040675h,Hilton Prague,Czech Republic
41069183h,Hilton Amsterdam Airport Schiphol,Netherlands
41300192h,Hilton Pyramids Golf,Egypt
42341625h,DoubleTree by Hilton Hotel London - Hyde Park,United Kingdom
4260261h,Price Tower,United States of America
4261094h,Downtown Grand Hotel & Casino,United States of America
4261374h,Suncoast Hotel and Casino,United States of America
4261384h,Las Vegas Club,United States of America
4261513h,Grand Central Hotel,United States of America
4272608h,Fairmont San Francisco,United States of America
4272804h,Breakers Hotel,United States of America
42748124h,Shah Abbasi Caravanserai of Abuzeydabad,Iran
42867978h,Tehrani House (Yazd),Iran
42874514h,Golshan House (Yazd),Iran
43031921h,Corona Hotel in Baia Sprie,Romania
43371249h,Brooks Hotel,United States of America
4385582h,Page-Walker Hotel,United States of America
44406603h,Hampshire House,United States of America
4448816h,Tsukuba Center Building,Japan
4479814h,West Baden Springs Hotel,United States of America
45316350h,DoubleTree by Hilton Hotel Edinburgh City Centre,United Kingdom
4596016h,1 Snow Hill Plaza,United Kingdom
47004857h,Brandt Hotel,United States of America
47166648h,Palau Benet-Desvilar,Spain
4725573h,Aliante Casino and Hotel,United States of America
47401774h,Conrad Bora Bora Nui,France
47518776h,Millennium Hilton Bangkok,Thailand
47902573h,Schloss Kölzow,Germany
4791273h,Arizona Charlie's Boulder,United States of America
4792351h,Arlington Hotel,United States of America
4793581h,Arminius Hotel,United States of America
4806513h,Hilton Istanbul Bosphorus,Turkey
4822225h,Hilton Izmir,Turkey
4841991h,Baglioni Hotel,United Kingdom
4842213h,Baha Mar,The Bahamas
48843972h,Booth Hotel,United States of America
49393251h,DoubleTree by Hilton Hotel Kuala Lumpur,Malaysia
4949600h,Boulder Station,United States of America
49573628h,Hilton Cabo Verde Sal Resort,Cape Verde
49593283h,Breite Straße 19,Germany
49593839h,Friedrichplatz 8,Germany
49594143h,Kurstraße 6,Germany
49595033h,Schloßstraße 5,Germany
4979998h,Bryan Building,United States of America
49807274h,Hilton London Bankside,United Kingdom
4985118h,Texas Station,United States of America
4993716h,Castle of Alvito,Portugal
4999251h,Burlington Hotel,United States of America
50308536h,DoubleTree by Hilton Hotel Dubai - Jumeirah Beach,United Arab Emirates
50353048h,Hilton Istanbul Bomonti Hotel & Conference Center,Turkey
50356312h,Hotel Palace of Valencia,Spain
5049621h,Castaways Hotel and Casino,United States of America
5049734h,Castle of Alcácer do Sal,Portugal
5049843h,Castle of Vila Nova de Cerveira,Portugal
50611971h,Hampton by Hilton London Gatwick Airport,United Kingdom
5061223h,Central House Hotel,United States of America
5065298h,Cerulean Tower,Japan
50809149h,Hilton Astana,Kazakhstan
50841764h,Hilton York,United Kingdom
510121h,Schlosshotel Kronberg,Germany
51025456h,Hilton Garden Inn Florence Novoli,Italy
5120095h,Cimarron Hotel,United States of America
51222702h,H10 Berlin Ku'damm,Germany
5179785h,Coworth House,United Kingdom
51824364h,Hilton London Kensington,United Kingdom
5189543h,Crowne Plaza Times Square,United States of America
51918515h,Hilton Cairns,Australia
51956193h,Fort Piqua Plaza,United States of America
5230243h,Davenport Hotel,United States of America
52886668h,"Rome Cavalieri, A Waldorf Astoria Hotel",Italy
5302326h,Dousman Hotel,United States of America
5330926h,Eastside Cannery,United States of America
5351073h,El Cortez,United States of America
53632218h,DoubleTree by Hilton Hotel London ExCel,United Kingdom
53806946h,Convento do Salvador,Portugal
53881282h,Palacete do Chafariz d'El-Rei,Portugal
53999203h,Hilton Niseko Village,Japan
5430586h,Hilton Cairo Heliopolis,Egypt
54427554h,Dalmatia Tower,Croatia
54474974h,Companhia de Moagens Harmonia,Portugal
54475112h,Quinta da Pacheca,Portugal
54475217h,NH Collection Porto Batalha,Portugal
54475224h,Moov Hotel Porto Centro,Portugal
546221h,Trump International Hotel and Tower,United States of America
54652699h,DoubleTree Resort by Hilton Penang,Malaysia
5472026h,Fort Shelby Hotel,United States of America
5472556h,Forte de São Sebastião,Portugal
5475490h,"Four Seasons Hotel building, San Francisco",United States of America
5475499h,Four Seasons Hotel Chicago,United States of America
54873914h,Clarke Hotel,United States of America
550379h,Conrad Dubai,United Arab Emirates
55075422h,Hippee Building,United States of America
55185046h,Sint-Antonius van Paduakerk,Netherlands
55209416h,Harper House,United States of America
55346142h,Convent of the Capuchinos,Spain
55347999h,Hilton Barcelona,Spain
5545989h,George Washington House,United States of America
55605106h,Beaumont Hotel,United States of America
55865629h,Hampton by Hilton Liverpool City Centre,United Kingdom
5594050h,Hotel Gran Meliá Don Pepe,Spain
5594662h,Grand Hyatt San Francisco,United States of America
5594866h,"Grand Palace Hotel, New Orleans",United States of America
5595660h,Brampton Grange,United Kingdom
5602124h,Greektown Casino Hotel,United States of America
56027180h,former station for biology Plön,Germany
56071855h,DoubleTree by Hilton Hotel & Spa Liverpool,United Kingdom
56084920h,Clayton Crown Hotel,United Kingdom
56085005h,Clayton Hotel Chiswick,United Kingdom
56085020h,Clayton Hotel Leeds,United Kingdom
56085053h,Clayton Hotel Birmingham,United Kingdom
56085075h,Clayton Hotel Belfast,United Kingdom
56150916h,Clayton Hotel Cardiff,United Kingdom
56194854h,Hilton Garden Inn Orenburg,Russia
56214797h,Hilton Garden Inn Novorossiysk,Russia
5637110h,Hacienda,United States of America
56446735h,Hilton Beijing Capital Airport,People's Republic of China
5646336h,Hampton by Hilton Liverpool/John Lennon Airport,United Kingdom
56478942h,Hilton Kuwait Resort,Kuwait
56522910h,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",France
56598554h,Canopy by Hilton Reykjavik City Centre,Iceland
56705491h,"former Hotel Castilla, Toledo",Spain
56711100h,Edifício A Tarde,Brazil
56827407h,Hilton Garden Inn Puchong,Malaysia
5683588h,Malek al-Tojar House (Yazd),Iran
569978h,Caesars Palace,United States of America
5705250h,Guged Caravanserai,Iran
5710559h,Paasitorni,Finland
57297679h,"Gran Vía 74, Madrid",Spain
57385878h,Hampton by Hilton London Luton Airport,United Kingdom
57613527h,Palazzo Montemartini,Italy
5764519h,Hilton Chennai,India
5764570h,Hilton Glasgow,United Kingdom
5764576h,Hilton Hanoi Opera,Vietnam
5764637h,Hilton Liverpool City Centre,United Kingdom
5764648h,Hilton London Metropole,United Kingdom
5764652h,DoubleTree by Hilton Hotel Luxembourg,Luxembourg
5764716h,Safir Sharm Waterfalls Resort,Egypt
5764722h,Hilton Singapore,Singapore
57739907h,Conrad Xiamen,People's Republic of China
5785660h,Convento Dominico de Nuestra Señora de la Consolación,Spain
58069409h,Hampton by Hilton Samara,Russia
58086658h,Hilton Garden Inn Ufa Riverside,Russia
58229015h,DoubleTree by Hilton Hotel Girona,Spain
587108h,Yokohama Landmark Tower,Japan
5872085h,Flour factory San José,Spain
5878173h,Malekzadeh House (Yazd),Iran
5883194h,Qorban Alizadeh House,Iran
5884157h,Khoshnevis Mansion,Iran
5885917h,Kasra Vafadari House,Iran
5891776h,Moshir Garden,Iran
5892374h,Moshir Caravanserai,Iran
5894717h,Dr. Hojjat House,Iran
5901285h,Alafchian House,Iran
5903404h,Hotel Málaga Palacio,Spain
5903511h,"Hotel de las Letras, Madrid",Spain
5907540h,Aminabad Caravanserai,Iran
5908224h,Shah Abbasi Caravanserai of Bisotun,Iran
5911169h,Hotel Alder,United States of America
5911415h,Hilton Podgorica Crna Gora,Montenegro
5912133h,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",Turkey
59131992h,DoubleTree by Hilton Hotel Minsk,Belarus
59138963h,Hilton Garden Inn Moscow New Riga,Russia
5918301h,Banitaba House,Iran
5920727h,Manuchehri House (Kashan),Iran
59209270h,Hilton Istanbul Maslak,Turkey
59492165h,Hilton Hua Hin Resort & Spa,Thailand
59519828h,house at V jirchářích 13,Czech Republic
5952911h,Hyatt Regency San Francisco,United States of America
5963275h,Ehsan House (Kashan),Iran
59872505h,"George Hotel, Sydney",Australia
59872532h,Trickett's Hotel,Australia
60055194h,"Wales House, Sydney",Australia
60323642h,Hoff Building,United States of America
60389409h,Ancienne église Saint-Nicolas,France
