name,s
Sanatório das Penhas da Saúde,28680070h
Sands Hotel and Casino,1107391h
Santa Casa da Misericórdia de Óbidos,73640935h
Santa Fe Station,7419570h
Schloss Kölzow,47902573h
Schlosshotel Kronberg,510121h
Schloßstraße 5,49595033h
Schüttkasten Geras,1401439h
Semnani House,61357012h
Shah Abbasi Caravanserai of Abuzeydabad,42748124h
Shah Abbasi Caravanserai of Bisotun,5908224h
Shanghai Tower,18547h
Sheraton Guiyang Hotel,21619228h
Shiodome Media Tower,3482309h
Shrigley Hall,7503956h
Silk Road Hotel (Yazd),110660109h
Simonsbath House,7520490h
Sint-Antonius van Paduakerk,55185046h
Sofitel Chicago Water Tower,7553765h
Solar da Rede,10352218h
"South Point Hotel, Casino & Spa",1637090h
Speech House,7575371h
St. James Hotel,113163876h
St. Nicholas Hotel,85802924h
St. Regis Museum Tower,7591596h
"Stadshotellet, Karlstad",98784123h
Stanley House,17532427h
Stardust Resort and Casino,202599h
Suncoast Hotel and Casino,4261374h
Sunset Station,7641354h
Suomi-yhtiön talo,98433825h
Superior Oil Company Building,7643550h
Taagepera Castle,2971063h
Tabacos de Filipinas building,21568919h
Teatro Eden,2398831h
Tehrani House (Yazd),42867978h
Texas Station,4985118h
"The Biltmore Mayfair, LXR Hotels & Resorts",13529145h
The Blackstone Hotel,2905596h
The Cairo,7720948h
The Caledonian,16256099h
The D Las Vegas,1136654h
The Drayton Court,7730896h
The Drew Las Vegas,278380h
The Durant,60746742h
The George Hotel,7736171h
The Harmon,2912992h
The International,61741817h
The Landmark Hotel and Casino,7745429h
The Leland Hotel,1116194h
The Linq,779373h
The London NYC,23907601h
The Mirage,900983h
"The Morrison Dublin, Curio Collection by Hilton",27033712h
The Mytton and Mermaid Hotel,26306764h
The Old Hall Hotel,26398842h
"The Old Rectory, St Columb Major",7754900h
The Orleans,3356472h
The Palazzo,1514587h
The Peninsula Chicago,7756547h
The Ritz London,1481002h
"The STRAT Hotel, Casino & SkyPod",845846h
The Salvation Army Building,65042333h
