s,museum_name,country_name
113363907m,"Weaver's Cottage, Kilbarchan",United Kingdom
113363909m,North Ayrshire Heritage Centre,United Kingdom
113363910m,Wellwood Burns Centre and Museum,United Kingdom
113363911m,Auchindrain Museum,United Kingdom
113363912m,Lochgoin Covenanters Museum,United Kingdom
113363913m,Glencoe and North Lorn Folk Museum,United Kingdom
113363914m,Largs Museum,United Kingdom
113363916m,Mevagissey Museum,United Kingdom
113363917m,Moseley Industrial Narrow Gauge Tramway And Toy Museum,United Kingdom
113363918m,Cornish Heritage Museum,United Kingdom
113363919m,Poldark Mine & Open Air Museum,United Kingdom
113363920m,Noahs Ark Museum,United Kingdom
113363921m,Padstow Museum,United Kingdom
113363922m,Creetown Gem Rock Museum,United Kingdom
113363923m,Lostwithiel Museum,United Kingdom
113363924m,Shire Horse Farm and Carriage Museum,United Kingdom
113363925m,The Castle Heritage Centre Bude,United Kingdom
113363927m,Fowey Museum,United Kingdom
113363928m,Dingwall Museum,United Kingdom
113363929m,Parc Glynllifon,United Kingdom
113363930m,Maclaurin Art Gallery,United Kingdom
113363931m,Museum Of The Cumbraes,United Kingdom
113363932m,Arran Heritage Museum,United Kingdom
113363933m,Cenarth Fishing Museum,United Kingdom
113363934m,Finlaystone House - Doll Collection,United Kingdom
113363935m,Automobilia Motor Museum,United Kingdom
113363936m,Tolgus Tin,United Kingdom
113363937m,Cornwall Maritime Museum,United Kingdom
113363938m,Museum of Cornish Methodism,United Kingdom
113363939m,Launceston Rural Museum,United Kingdom
113363940m,Mckechnie Institute,United Kingdom
113363942m,Lochwinnoch Community Museum,United Kingdom
113363943m,St Agnes Parish Museum,United Kingdom
113363944m,Liskeard & District Museum,United Kingdom
113363945m,Whithorn - Cradle Of Christianity,United Kingdom
113363946m,Perranzabuloe Museum,United Kingdom
113363947m,The Collectors Rendezvous,United Kingdom
113363948m,West Kilbride Museum,United Kingdom
113363949m,The Vennel Gallery,United Kingdom
113363950m,Gallery Of Old Newquay,United Kingdom
113363952m,Clan Cameron Museum,United Kingdom
113363953m,Treasures Of The Earth,United Kingdom
113363954m,Christian Heritage Museum,United Kingdom
113363955m,Polperro Heritage Museum Of Smuggling & Fishing,United Kingdom
113363956m,Barrhead Museum,United Kingdom
113363957m,Whithorn Priory and Museum,United Kingdom
113363958m,Dundonald Castle Museum,United Kingdom
113363959m,Ullapool Museum,United Kingdom
113363960m,Motoring Heritage Centre,United Kingdom
113363961m,Kilwinning Heritage Centre,United Kingdom
113363962m,Creetown Heritage Museum,United Kingdom
113363963m,Strachur Smiddy Museum,United Kingdom
113363964m,Cardigan Heritage Centre,United Kingdom
113363965m,Smugglers Museum,United Kingdom
113363967m,Urquhart Castle Visitor Centre,United Kingdom
113363968m,Barr Castle Museum,United Kingdom
113363969m,Tacla Taid Transport And Agriculture Museum,United Kingdom
113363970m,Paisley Thread Mill Museum,United Kingdom
113363971m,Davidstow Moor RAF Memorial Museum,United Kingdom
113363972m,Gerrans Parish Heritage Centre,United Kingdom
113363973m,Constantine Museum,United Kingdom
113363976m,The Highland Drover Centre,United Kingdom
113363977m,The Coach House Museum,United Kingdom
113363978m,Johnstone Community Museum,United Kingdom
113363980m,Cornwall At War Museum,United Kingdom
113363981m,Grampound with Creed Heritage Centre,United Kingdom
113363982m,Pembroke Dock Heritage Centre,United Kingdom
113363983m,Lizard Lighthouse Heritage Centre,United Kingdom
113363984m,Ty Twt Dolls House And Toy Museum,United Kingdom
113363985m,Tom Mathias Museum,United Kingdom
113363986m,Greenock Fire Museum And Heritage Centre,United Kingdom
113363987m,Renfrew Community Museum,United Kingdom
113363988m,Welsh Spitfire Museum,United Kingdom
113363989m,Hayle Heritage Centre,United Kingdom
113363990m,Newquay Heritage Archive And Museum,United Kingdom
113363992m,Sail Loft Museum,United Kingdom
113363993m,Ein Hanes (Our History),United Kingdom
113363995m,Public Library & Museum (Camborne),United Kingdom
113363996m,Kilmaurs Historical Society Museum,United Kingdom
113363997m,Dunaskin Open-air Industrial Museum,United Kingdom
113363998m,Lanreath Folk And Farm Museum,United Kingdom
113363999m,Redruth Old Cornwall Society Museum,United Kingdom
113364000m,Burns Monument Centre,United Kingdom
113364001m,Mr Potters Museum Of Curiosities,United Kingdom
113364002m,Harlyn Bay Museum Of Prehistoric Discoveries & Ancient Burial Ground,United Kingdom
113364003m,Tam Oshanter Museum,United Kingdom
113364004m,Magnificent Music Machines,United Kingdom
113364005m,Thorburn Museum & Gallery,United Kingdom
113364006m,Wild Life Museum,United Kingdom
113364007m,Old Kiln Museum,United Kingdom
113364008m,Graham Sutherland Gallery,United Kingdom
113364009m,Maesllyn Woolen Mill & Museum,United Kingdom
113364011m,Boswell Museum & Mausoleum,United Kingdom
113364012m,Pembrokeshire Candle Centre Museum,United Kingdom
113364013m,Little Treasures Museum,United Kingdom
113364014m,Doon Valley Museum,United Kingdom
113364015m,British Cycling Museum,United Kingdom
113364016m,Commando Museum,United Kingdom
113364017m,Inveraray Maritime Museum,United Kingdom
113364018m,National Museum Of Gardening,United Kingdom
113364019m,Bradworthy Transport Museum,United Kingdom
113369629m,Worcestershire Museum of Freemasonry,United Kingdom
113369630m,Rayleigh Windmill Museum,United Kingdom
113369631m,Museum of the Wagoners' Special Reserve,United Kingdom
113369632m,Redferns Cottage: Museum of Uttoxeter,United Kingdom
113369633m,Masonic Museum of Staffordshire,United Kingdom
113369634m,Railways In Miniature Museum,United Kingdom
113369635m,The Dudson Museum,United Kingdom
113369636m,The Museum of Cipher Equipment,United Kingdom
113369637m,Good Luck Lead Mining Museum,United Kingdom
113369638m,Dyke Nook Farm Museum,United Kingdom
113369639m,Barmouth Rnli Museum,United Kingdom
113369640m,Bwlch Farm Museum,United Kingdom
113369641m,Castle Farm Folk Museum,United Kingdom
113369642m,Dewsbury Canal Museum,United Kingdom
113369643m,Drusillas Museum,United Kingdom
113369644m,Clan Maclennan Museum,United Kingdom
113369645m,George Leatt Industrial And Folk Museum,United Kingdom
113369646m,Hamilton House Toy Museum,United Kingdom
113369647m,Lytham Motive Power Museum,United Kingdom
113369648m,Museum of Childhood Memories,United Kingdom
113369649m,Old Forge Museum (Great Tew),United Kingdom
113369650m,Scottish Museum of Wool Textiles,United Kingdom
113369651m,Furness Abbey Museum,United Kingdom
113369652m,The Reid Concert Hall Museum of Instruments,United Kingdom
113369653m,University of Dundee Museum Collections,United Kingdom
113369654m,Longshoremans Museum,United Kingdom
113369655m,Smythson Stationery Museum,United Kingdom
113369656m,Tregaron Kite Centre & Museum,United Kingdom
113369658m,Tutbury Museum,United Kingdom
113369659m,Commendators House Museum,United Kingdom
113369660m,Victorian Pharmacy Museum,United Kingdom
113369661m,Tayside Medical History Museum,United Kingdom
113369662m,Warsetter Farm Museum,United Kingdom
113369663m,Hibernian Football Club Museum,United Kingdom
113369664m,Ladycroft Agricultural Museum,United Kingdom
113369665m,The Red Feather Club 95th Bomb Group Museum,United Kingdom
113369666m,The Wiltshire Regimental Museum,United Kingdom
113369667m,Carron Row Farm Museum,United Kingdom
113369668m,Pilkington Glass Museum,United Kingdom
113369669m,Public Library & Museum (Camborne),United Kingdom
113369670m,Calbourne Water Mill And Rural Museum,United Kingdom
113369671m,Dunhill Museum & Archive,United Kingdom
113369672m,Handsworth St Marys Museum,United Kingdom
113369673m,Heaven Farm Museum,United Kingdom
113369674m,John King Workshop Museum,United Kingdom
113369676m,London Scottish Regimental Museum,United Kingdom
113369677m,Magdalen College Museum,United Kingdom
113369678m,Mesolithic Museum,United Kingdom
113369679m,Planet Earth Museum,United Kingdom
113369680m,Royal Wiltshire Yeomanry Museum,United Kingdom
113369681m,Sally Lunns Historic Eating House & Museum,United Kingdom
113369682m,Selsey Lifeboat Museum,United Kingdom
113369683m,St Asaph Cathedral Museum,United Kingdom
113369684m,St John Medieval Museum And Coningsby Hospital,United Kingdom
113369685m,Thames River Police Museum,United Kingdom
113369686m,The Hop Farm Museum,United Kingdom
113369687m,Waterperry Gardens Rural Museum,United Kingdom
113369688m,Wellesbourne Wartime Museum,United Kingdom
113369689m,Fife and Forfar Yeomanry Museum,United Kingdom
113369690m,Rumble Museum,United Kingdom
113369691m,House of Hardy Fishing Tackle Museum,United Kingdom
113369692m,Berwick Gaol Museum,United Kingdom
113369693m,The Real Crime Museum,United Kingdom
113369694m,Chideock and Seatown Museum,United Kingdom
113369695m,Mathewson's Motor Museum,United Kingdom
113369696m,Museum of Amusements,United Kingdom
113369697m,Denby Pottery Visitor Centre Museum,United Kingdom
113369698m,Hopewell Colliery - Museum And Working Mine,United Kingdom
113369699m,Clayton Hall Living History Museum,United Kingdom
113369700m,Elham Valley Countryside Centre And Railway Museum,United Kingdom
113369701m,William Carey Museum,United Kingdom
113369702m,Haywain Farm Museum,United Kingdom
113369703m,David Brown Tractor Museum,United Kingdom
113369704m,Dukes Wood Oil Museum,United Kingdom
113369705m,Welsh Museum of Fire,United Kingdom
113369706m,The Last House Museum & Gift Shop,United Kingdom
113369707m,Warwickshire Museum - Market Hall Museum,United Kingdom
113369708m,"University Of St Andrews, Bell Pettigrew Museum",United Kingdom
113369709m,"University Of Aberdeen, Zoology Department Museum",United Kingdom
113369710m,Brechin Museum,United Kingdom
113369711m,John Knox House Museum,United Kingdom
113369712m,"Anatomy Museum, University Of Aberdeen",United Kingdom
113369713m,Folkestone Museum,United Kingdom
113369714m,Museum of The Royal Philatelic Society London,United Kingdom
113369715m,Bacup Natural History Society And Museum,United Kingdom
113369716m,"Museum of Dentistry, University Of Liverpool",United Kingdom
113369717m,Pitt Rivers Museum (Farnham),United Kingdom
113369718m,Glastonbury Lake Village Museum,United Kingdom
113369719m,Tynemouth Volunteer Life Brigade Watch House Museum,United Kingdom
113369721m,St Helens Museum And Art Gallery,United Kingdom
113369722m,The Epping Forest Museum,United Kingdom
113369723m,Westgate Museum,United Kingdom
113369724m,The Museum of Methodism and John Wesley's House,United Kingdom
113369725m,Hall Ith Wood Museum,United Kingdom
113369726m,Towneley Hall Art Gallery And Museum,United Kingdom
113369727m,Magic Circle Museum At The Centre For The Magic Arts,United Kingdom
113369728m,Corbridge Roman Site Museum,United Kingdom
113369729m,Michael Bruce Cottage Museum,United Kingdom
113369730m,Public Record Office Museum,United Kingdom
113369731m,St Andrews Cathedral Museum,United Kingdom
113369732m,Louth Museum,United Kingdom
113369733m,Gravesham Museum,United Kingdom
113369734m,Bournemouth Natural Science Society Museum,United Kingdom
113369735m,Jedburgh Abbey Museum,United Kingdom
113369736m,Fletcher Moss Art Gallery & Museum,United Kingdom
113369737m,The Mercian Regiment Museum (Worcestershire),United Kingdom
113369738m,Sherwood Foresters Regimental Museum,United Kingdom
113369740m,Clun Town Trust Museum,United Kingdom
113369741m,Airdrie Museum,United Kingdom
113369742m,Cave Museum,United Kingdom
113369743m,Nottingham Natural History Museum,United Kingdom
113369745m,Winchcombe Folk & Police Museum,United Kingdom
113369746m,Black And White House Museum,United Kingdom
113369747m,Manchester Masonic Museum,United Kingdom
113369748m,Kings Own Royal Regiment Museum,United Kingdom
113369749m,York And Lancaster Regimental Museum,United Kingdom
113369750m,Chesters Roman Fort And Museum,United Kingdom
113369751m,Cumberland House Natural History Museum,United Kingdom
113369752m,Museum of The South Lancashire Regiment (pwv),United Kingdom
113369754m,Athelstan Museum,United Kingdom
113369755m,Castleford Forum Museum,United Kingdom
113369756m,Harbour Commissioners Lighthouse Museum,United Kingdom
113369757m,Parish Museum,United Kingdom
113369758m,Erith Museum,United Kingdom
113369759m,Chartered Insurance Institute Museum,United Kingdom
113369760m,Tolpuddle Martyrs Museum,United Kingdom
113369761m,Housesteads Museum,United Kingdom
113369762m,Rnli Eastbourne Lifeboat Museum,United Kingdom
113369763m,Lydney Park Museum,United Kingdom
113369764m,Royal Leicestershire Regiment Museum,United Kingdom
113369765m,Kings Own Scottish Borderers Regimental Museum,United Kingdom
113369766m,Werneth Park Museum,United Kingdom
113369767m,J M Barries Birthplace Museum,United Kingdom
113369768m,Kenilworth Abbey Barn Museum,United Kingdom
113369769m,Elgin Cathedral Museum,United Kingdom
113369770m,Helena Thompson Museum,United Kingdom
113369771m,Brampton Museum,United Kingdom
