s,object_type
103623268m,http://example.com/ontology/Museum
1036560m,http://example.com/ontology/Museum
10367728m,http://example.com/ontology/Museum
10368094m,http://example.com/ontology/Museum
1036938w,http://example.com/ontology/Heritage
1037126m,http://example.com/ontology/Museum
10373050m,http://example.com/ontology/Museum
10373052m,http://example.com/ontology/Museum
10376080b,http://example.com/ontology/Building
10376507m,http://example.com/ontology/Museum
103776961m,http://example.com/ontology/Museum
103790440m,http://example.com/ontology/Museum
103802422m,http://example.com/ontology/Museum
103807293m,http://example.com/ontology/Museum
103810512m,http://example.com/ontology/Museum
103811640m,http://example.com/ontology/Museum
103812976m,http://example.com/ontology/Museum
103813473m,http://example.com/ontology/Museum
103813610m,http://example.com/ontology/Museum
10381549m,http://example.com/ontology/Museum
103818049b,http://example.com/ontology/Building
103826502m,http://example.com/ontology/Museum
103843155b,http://example.com/ontology/Building
103843205m,http://example.com/ontology/Museum
1038473w,http://example.com/ontology/Heritage
103849450m,http://example.com/ontology/Museum
103861978m,http://example.com/ontology/Museum
10396695m,http://example.com/ontology/Museum
10400349m,http://example.com/ontology/Museum
1040043b,http://example.com/ontology/Building
10403938m,http://example.com/ontology/Museum
10404320m,http://example.com/ontology/Museum
104062612b,http://example.com/ontology/Building
1040637b,http://example.com/ontology/Building
1040650b,http://example.com/ontology/Building
1040665b,http://example.com/ontology/Building
104083353h,http://example.com/ontology/Hotel
104089642b,http://example.com/ontology/Building
104089749b,http://example.com/ontology/Building
104091923b,http://example.com/ontology/Building
104092305m,http://example.com/ontology/Museum
104092585b,http://example.com/ontology/Building
104093056m,http://example.com/ontology/Museum
104093065m,http://example.com/ontology/Museum
104093112m,http://example.com/ontology/Museum
104093133m,http://example.com/ontology/Museum
104093172m,http://example.com/ontology/Museum
104093333m,http://example.com/ontology/Museum
104094413m,http://example.com/ontology/Museum
104094414m,http://example.com/ontology/Museum
104094417m,http://example.com/ontology/Museum
104094419m,http://example.com/ontology/Museum
104094422m,http://example.com/ontology/Museum
104094423m,http://example.com/ontology/Museum
104094424m,http://example.com/ontology/Museum
104094437m,http://example.com/ontology/Museum
104094438m,http://example.com/ontology/Museum
104094483m,http://example.com/ontology/Museum
104096341m,http://example.com/ontology/Museum
104097077m,http://example.com/ontology/Museum
104097094m,http://example.com/ontology/Museum
104097175m,http://example.com/ontology/Museum
104097189m,http://example.com/ontology/Museum
104097201m,http://example.com/ontology/Museum
104097204m,http://example.com/ontology/Museum
104097206m,http://example.com/ontology/Museum
104097207m,http://example.com/ontology/Museum
104097208m,http://example.com/ontology/Museum
104097209m,http://example.com/ontology/Museum
104097210m,http://example.com/ontology/Museum
104097211m,http://example.com/ontology/Museum
104097212m,http://example.com/ontology/Museum
104097213m,http://example.com/ontology/Museum
104097214m,http://example.com/ontology/Museum
104097215m,http://example.com/ontology/Museum
104097216m,http://example.com/ontology/Museum
104097218m,http://example.com/ontology/Museum
104097219m,http://example.com/ontology/Museum
104097368m,http://example.com/ontology/Museum
104097435m,http://example.com/ontology/Museum
104097437m,http://example.com/ontology/Museum
104097438m,http://example.com/ontology/Museum
104097444m,http://example.com/ontology/Museum
104097446m,http://example.com/ontology/Museum
104097448m,http://example.com/ontology/Museum
104097449m,http://example.com/ontology/Museum
104097451m,http://example.com/ontology/Museum
104097453m,http://example.com/ontology/Museum
104097455m,http://example.com/ontology/Museum
104097458m,http://example.com/ontology/Museum
104097541m,http://example.com/ontology/Museum
104097678m,http://example.com/ontology/Museum
104097679m,http://example.com/ontology/Museum
104097680m,http://example.com/ontology/Museum
104097683m,http://example.com/ontology/Museum
104097684m,http://example.com/ontology/Museum
104097685m,http://example.com/ontology/Museum
104097686m,http://example.com/ontology/Museum
104097687m,http://example.com/ontology/Museum
104097688m,http://example.com/ontology/Museum
104097689m,http://example.com/ontology/Museum
104097690m,http://example.com/ontology/Museum
104097691m,http://example.com/ontology/Museum
104097693m,http://example.com/ontology/Museum
1041232b,http://example.com/ontology/Building
104125939b,http://example.com/ontology/Building
10413351b,http://example.com/ontology/Building
10413418m,http://example.com/ontology/Museum
104144801b,http://example.com/ontology/Building
